title,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link
Inception,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDAY7Malaj4klMEjUvy1YC7O6JXaUodaDIW2xyYs_huUch4quAuREHvGe6VlIj6o1K3THeI7eKXlBDuS6a-JZH7sw.jpg?r=d87
Shutter Island,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGqtG3E7xXSvF7TMN6gzYTA-ygo9utELjEnaHAm_-5csdbRyj9cGZqVd8-ZYTuwAuWyuUuq3agPj-pYrV9RjDAyPQ.jpg?r=850
Memento,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXg2UWKRwv3lIMRU4fBLsu3TFRshTBCCUS_c-rWUIkREvzKUpbVsXtIuJWDtykz6IcyhOhsj9JltB8qfuOaTrFUkyg.jpg?r=4ce
Back to the Future,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1348-1347.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX8AN_0v-MMCns2Mg6EybmvhBXp-XQuC064tHHvwYM2mAW8I4NRFEL1XHKnXH1noz3pWDAajwxEIIY3n9suHnFJlXw.jpg?r=db2
Deadpool,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU7hrzylZeNWL1ZmlP8NCdV3Gvx2EGo9E4trhveMEAlsTw43Nd7zD_N8UAlNWu4uOaxramtQ035QNmGpLsJJ3-QUXA.jpg?r=b21
Stranger Things,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTL65qyo8vAVdBubGEaZO30gWLpk__rJa7dph61nnnfga7WNoKBixHuV7SEU6-XP9rh-NnCMd6z35UntYvOfE0Biw9GiO3p7NO6x0h_XRD5KawPqcD-ol4_GyfU.jpg?r=594
The Pianist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQPnnhThPWr_u19ajFlcYkYA3CXs7rzNkhZY53-6449ewtY1liJ0XxIUjEf5Gw6c43gpRXAUm00LbKc10WSmSMEBiw.jpg?r=91c
The Imitation Game,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaGlgKMAFK_dElr4Nmr5rqCjMmD5KRdQqa5gPR7xFlBXxoJ0wKvMLIkhtHTAi1yA704mlzCdpv6qQbzLcjlPVt_4kA.jpg?r=74b
The Social Network,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX5C0Txb7xW0IIiGayKFAAh4AcrBlHGRswHFvFTfJOvVOFHWDyhbXP5O4jr7tl15PmFIeRW3dGXaap3fNap7kj8XUQ.jpg?r=a68
"Its Okay, Buddy",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRRuumKZ-pKbX3CgRpu7lgLpfB6rM3QRpYpryp_Z7ut2td2Xlb_Gfu5iVgUsl-k6kmoTxGAdq6lv-R3oYw3BMn-3Bw.jpg?r=f53
Its Okay to Not Be Okay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUuMiarnTKtOMIJwhV9tLaIbldJXQ8QnwAUJWQo_XMncXAQmj1F-zBVwilsBn-OHa-ZRlPK3R6aso8PTpoDUQtVQZBCpb-RwWf3WX9_uZFGKzy3jPniK5NEBrco49QKdQ797ix9TmcIs6Utb78StWWmPX1QVubQEghXJExM.jpg?r=3f2
